sku,design_no,stock,category,size,color,sku_missing,stock_status,sku_duplicate,sku_quality
AN209-BIEGE-L,AN209,4,Leggings,L,Beige,False,Low Stock,False,Valid SKU
AN209-BIEGE-M,AN209,7,Leggings,M,Beige,False,In Stock,False,Valid SKU
AN209-BIEGE-S,AN209,4,Leggings,S,Beige,False,Low Stock,False,Valid SKU
AN209-BIEGE-XL,AN209,3,Leggings,XL,Beige,False,Low Stock,False,Valid SKU
AN209-BIEGE-XXL,AN209,3,Leggings,XXL,Beige,False,Low Stock,False,Valid SKU
AN210-NAVY-L,AN210,5,Leggings,L,Navy Blue,False,Low Stock,False,Valid SKU
AN210-NAVY-M,AN210,3,Leggings,M,Navy Blue,False,Low Stock,False,Valid SKU
AN210-NAVY-S,AN210,4,Leggings,S,Navy Blue,False,Low Stock,False,Valid SKU
AN210-NAVY-XL,AN210,2,Leggings,XL,Navy Blue,False,Low Stock,False,Valid SKU
AN210-NAVY-XXL,AN210,2,Leggings,XXL,Navy Blue,False,Low Stock,False,Valid SKU
AN211-BLACK-L,AN211,2,Leggings,L,Black,False,Low Stock,False,Valid SKU
AN211-BLACK-M,AN211,1,Leggings,M,Black,False,Low Stock,False,Valid SKU
AN211-BLACK-S,AN211,7,Leggings,S,Black,False,In Stock,False,Valid SKU
AN211-BLACK-XL,AN211,3,Leggings,XL,Black,False,Low Stock,False,Valid SKU
AN211-BLACK-XXL,AN211,3,Leggings,XXL,Black,False,Low Stock,False,Valid SKU
AN212-WHITE-L,AN212,11,Leggings,L,White,False,In Stock,False,Valid SKU
AN212-WHITE-M,AN212,8,Leggings,M,White,False,In Stock,False,Valid SKU
AN212-WHITE-S,AN212,13,Leggings,S,White,False,In Stock,False,Valid SKU
AN212-WHITE-XL,AN212,21,Leggings,XL,White,False,In Stock,False,Valid SKU
AN212-WHITE-XXL,AN212,12,Leggings,XXL,White,False,In Stock,False,Valid SKU
AN213-BROWN-L,AN213,2,Leggings,L,Brown,False,Low Stock,False,Valid SKU
AN213-BROWN-M,AN213,7,Leggings,M,Brown,False,In Stock,False,Valid SKU
AN213-BROWN-S,AN213,8,Leggings,S,Brown,False,In Stock,False,Valid SKU
AN213-BROWN-XL,AN213,6,Leggings,XL,Brown,False,In Stock,False,Valid SKU
AN213-BROWN-XXL,AN213,8,Leggings,XXL,Brown,False,In Stock,False,Valid SKU
BL001-50PINK,BL001,33,Blouse,Free,Pink,False,In Stock,False,Valid SKU
BL003-50BLACK,BL003,117,Blouse,Free,Black,False,In Stock,False,Valid SKU
BL004-50CHIKU,BL004,38,Blouse,Free,Beige,False,In Stock,False,Valid SKU
BL005-54RED,BL005,16,Blouse,Free,Red,False,In Stock,False,Valid SKU
BL006-54BLACK,BL006,112,Blouse,Free,Black,False,In Stock,False,Valid SKU
,BL006,0,Blouse,Free,Black,True,Out of Stock,False,Missing / Invalid SKU
BL007-61PINK,BL007,56,Blouse,Free,Pink,False,In Stock,False,Valid SKU
BL008-61RED,BL008,35,Blouse,Free,Red,False,In Stock,False,Valid SKU
,BL008,0,Blouse,Free,Red,True,Out of Stock,False,Missing / Invalid SKU
BL009-61BLACK,BL009,575,Blouse,Free,Black,False,In Stock,False,Valid SKU
BL010-61CHIKU,BL010,75,Blouse,Free,Beige,False,In Stock,False,Valid SKU
BL011-62PINK,BL011,22,Blouse,Free,Pink,False,In Stock,False,Valid SKU
BL013-62BLACK,BL013,399,Blouse,Free,Black,False,In Stock,False,Valid SKU
,BL013,0,Blouse,Free,Black,True,Out of Stock,False,Missing / Invalid SKU
BL014-62CHIKU,BL014,73,Blouse,Free,Beige,False,In Stock,False,Valid SKU
BL015-63PINK,BL015,14,Blouse,Free,Pink,False,In Stock,False,Valid SKU
BL016-63RED,BL016,24,Blouse,Free,Red,False,In Stock,False,Valid SKU
BL017-63BLACK,BL017,208,Blouse,Free,Black,False,In Stock,False,Valid SKU
BL018-63BEIGE,BL018,39,Blouse,Free,Beige,False,In Stock,False,Valid SKU
BL019-71PINK,BL019,76,Blouse,Free,Pink,False,In Stock,False,Valid SKU
,BL019,0,Blouse,Free,Pink,True,Out of Stock,False,Missing / Invalid SKU
BL020-71RED,BL020,38,Blouse,Free,Red,False,In Stock,False,Valid SKU
BL021-71BLACK,BL021,628,Blouse,Free,Black,False,In Stock,False,Valid SKU
,BL021,0,Blouse,Free,Black,True,Out of Stock,False,Missing / Invalid SKU
,BL021,1,Blouse,Free,Black,True,Low Stock,False,Missing / Invalid SKU
BL022-71BEIGE,BL022,106,Blouse,Free,Beige,False,In Stock,False,Valid SKU
,BL022,0,Blouse,Free,Beige,True,Out of Stock,False,Missing / Invalid SKU
BL023-74PINK,BL023,50,Blouse,Free,Pink,False,In Stock,False,Valid SKU
BL024-74RED,BL024,103,Blouse,Free,Red,False,In Stock,False,Valid SKU
BL025-74BLACK,BL025,199,Blouse,Free,Black,False,In Stock,False,Valid SKU
BL026-74BEIGE,BL026,98,Blouse,Free,Beige,False,In Stock,False,Valid SKU
BL029-78BLACK,BL029,201,Blouse,Free,Black,False,In Stock,False,Valid SKU
,BL029,0,Blouse,Free,Black,True,Out of Stock,False,Missing / Invalid SKU
BL030-78BEIGE,BL030,10,Blouse,Free,Beige,False,In Stock,False,Valid SKU
BL031-79PINK,BL031,8,Blouse,Free,Pink,False,In Stock,False,Valid SKU
BL034-150GOLD,BL034,31,Blouse,Free,Gold,False,In Stock,False,Valid SKU
BL035-161GOLD,BL035,448,Blouse,Free,Gold,False,In Stock,False,Valid SKU
,BL035,0,Blouse,Free,Gold,True,Out of Stock,False,Missing / Invalid SKU
BL036-176GOLD,BL036,45,Blouse,Free,Gold,False,In Stock,False,Valid SKU
,BL036,0,Blouse,Free,Gold,True,Out of Stock,False,Missing / Invalid SKU
BL040-65PINK,BL040,31,Blouse,Free,Pink,False,In Stock,False,Valid SKU
BL041-65RED,BL041,30,Blouse,Free,Red,False,In Stock,False,Valid SKU
BL046-82RED,BL046,23,Blouse,Free,Red,False,In Stock,False,Valid SKU
BL050-83RED,BL050,63,Blouse,Free,Red,False,In Stock,False,Valid SKU
BL051-83BLACK,BL051,42,Blouse,Free,Black,False,In Stock,False,Valid SKU
BL053-153GOLD,BL053,20,Blouse,Free,Gold,False,In Stock,False,Valid SKU
BL055-164GOLD,BL055,68,Blouse,Free,Gold,False,In Stock,False,Valid SKU
BL056-185GOLD,BL056,23,Blouse,Free,Gold,False,In Stock,False,Valid SKU
BL057-65BLACK,BL057,114,Blouse,Free,Black,False,In Stock,False,Valid SKU
BL058-65BEIGE,BL058,20,Blouse,Free,Beige,False,In Stock,False,Valid SKU
,BL058,0,Blouse,Free,Beige,True,Out of Stock,False,Missing / Invalid SKU
BL060-75RED,BL060,49,Blouse,Free,Red,False,In Stock,False,Valid SKU
BL061-75BLACK,BL061,488,Blouse,Free,Black,False,In Stock,False,Valid SKU
,BL061,0,Blouse,Free,Black,True,Out of Stock,False,Missing / Invalid SKU
BL073-85BLACK,BL073,48,Blouse,Free,Black,False,In Stock,False,Valid SKU
BL074-85RED,BL074,17,Blouse,Free,Red,False,In Stock,False,Valid SKU
BL075-85CHIKU,BL075,7,Blouse,Free,Chiku,False,In Stock,False,Valid SKU
BL076-86BLACK,BL076,21,Blouse,Free,Black,False,In Stock,False,Valid SKU
BL077-86RED,BL077,8,Blouse,Free,Red,False,In Stock,False,Valid SKU
BL078-87BLACK,BL078,18,Blouse,Free,Black,False,In Stock,False,Valid SKU
BL079-87RED,BL079,12,Blouse,Free,Red,False,In Stock,False,Valid SKU
BL080-88BLACK,BL080,12,Blouse,Free,Black,False,In Stock,False,Valid SKU
BL081-88PINK,BL081,30,Blouse,Free,Pink,False,In Stock,False,Valid SKU
BL082-88CHIKU,BL082,9,Blouse,Free,Beige,False,In Stock,False,Valid SKU
BL083-186GOLD,BL083,16,Blouse,Free,Gold,False,In Stock,False,Valid SKU
BL084-187GOLD,BL084,11,Blouse,Free,Gold,False,In Stock,False,Valid SKU
BL085-L,BL085,24,Blouse,L,Orange,False,In Stock,False,Valid SKU
BL085-M,BL085,15,Blouse,M,Orange,False,In Stock,False,Valid SKU
BL085-S,BL085,12,Blouse,S,Orange,False,In Stock,False,Valid SKU
BL085-XL,BL085,13,Blouse,XL,Orange,False,In Stock,False,Valid SKU
BL085-XS,BL085,6,Blouse,XS,Orange,False,In Stock,False,Valid SKU
BL085-XXL,BL085,11,Blouse,XXL,Orange,False,In Stock,False,Valid SKU
,BL086,1,Blouse,Free,Blue,True,Low Stock,False,Missing / Invalid SKU
BL086-L,BL086,4,Blouse,L,Blue,False,Low Stock,False,Valid SKU
BL086-M,BL086,5,Blouse,M,Blue,False,Low Stock,False,Valid SKU
BL086-S,BL086,2,Blouse,S,Blue,False,Low Stock,False,Valid SKU
BL086-XL,BL086,5,Blouse,XL,Blue,False,Low Stock,False,Valid SKU
BL086-XS,BL086,8,Blouse,XS,Blue,False,In Stock,False,Valid SKU
BL086-XXL,BL086,3,Blouse,XXL,Blue,False,Low Stock,False,Valid SKU
,BL087,0,Blouse,Free,Multicolor,True,Out of Stock,False,Missing / Invalid SKU
BL087-L,BL087,48,Blouse,L,Multicolor,False,In Stock,False,Valid SKU
BL087-M,BL087,89,Blouse,M,Multicolor,False,In Stock,False,Valid SKU
BL087-S,BL087,11,Blouse,S,Multicolor,False,In Stock,False,Valid SKU
BL087-XL,BL087,5,Blouse,XL,Multicolor,False,Low Stock,False,Valid SKU
BL087-XS,BL087,18,Blouse,XS,Multicolor,False,In Stock,False,Valid SKU
BL087-XXL,BL087,86,Blouse,XXL,Multicolor,False,In Stock,False,Valid SKU
BL089-L,BL089,4,Blouse,L,Multicolor,False,Low Stock,False,Valid SKU
BL089-M,BL089,4,Blouse,M,Multicolor,False,Low Stock,False,Valid SKU
BL089-S,BL089,3,Blouse,S,Multicolor,False,Low Stock,False,Valid SKU
BL089-XL,BL089,8,Blouse,XL,Multicolor,False,In Stock,False,Valid SKU
BL089-XS,BL089,4,Blouse,XS,Multicolor,False,Low Stock,False,Valid SKU
BL089-XXL,BL089,7,Blouse,XXL,Multicolor,False,In Stock,False,Valid SKU
BL090-L,BL090,30,Blouse,L,Peach,False,In Stock,False,Valid SKU
BL090-M,BL090,44,Blouse,M,Peach,False,In Stock,False,Valid SKU
BL090-S,BL090,11,Blouse,S,Peach,False,In Stock,False,Valid SKU
BL090-XL,BL090,16,Blouse,XL,Peach,False,In Stock,False,Valid SKU
BL090-XS,BL090,29,Blouse,XS,Peach,False,In Stock,False,Valid SKU
BL090-XXL,BL090,19,Blouse,XXL,Peach,False,In Stock,False,Valid SKU
BL091-L,BL091,4,Blouse,L,Multicolor,False,Low Stock,False,Valid SKU
BL091-M,BL091,4,Blouse,M,Multicolor,False,Low Stock,False,Valid SKU
BL091-S,BL091,7,Blouse,S,Multicolor,False,In Stock,False,Valid SKU
BL091-XL,BL091,3,Blouse,XL,Multicolor,False,Low Stock,False,Valid SKU
BL091-XS,BL091,7,Blouse,XS,Multicolor,False,In Stock,False,Valid SKU
BL091-XXL,BL091,3,Blouse,XXL,Multicolor,False,Low Stock,False,Valid SKU
BL092-L,BL092,20,Blouse,L,Blue,False,In Stock,False,Valid SKU
BL092-M,BL092,22,Blouse,M,Blue,False,In Stock,False,Valid SKU
BL092-S,BL092,13,Blouse,S,Blue,False,In Stock,False,Valid SKU
BL092-XL,BL092,27,Blouse,XL,Blue,False,In Stock,False,Valid SKU
BL092-XS,BL092,17,Blouse,XS,Blue,False,In Stock,False,Valid SKU
BL092-XXL,BL092,25,Blouse,XXL,Blue,False,In Stock,False,Valid SKU
BL093-L,BL093,2,Blouse,L,Grey,False,Low Stock,False,Valid SKU
BL093-M,BL093,2,Blouse,M,Grey,False,Low Stock,False,Valid SKU
BL093-S,BL093,11,Blouse,S,Grey,False,In Stock,False,Valid SKU
BL093-XL,BL093,4,Blouse,XL,Grey,False,Low Stock,False,Valid SKU
BL093-XS,BL093,4,Blouse,XS,Grey,False,Low Stock,False,Valid SKU
BL093-XXL,BL093,3,Blouse,XXL,Grey,False,Low Stock,False,Valid SKU
BL095-L,BL095,51,Blouse,L,Multicolor,False,In Stock,False,Valid SKU
BL095-M,BL095,34,Blouse,M,Multicolor,False,In Stock,False,Valid SKU
BL095-S,BL095,51,Blouse,S,Multicolor,False,In Stock,False,Valid SKU
BL095-XL,BL095,26,Blouse,XL,Multicolor,False,In Stock,False,Valid SKU
BL095-XS,BL095,59,Blouse,XS,Multicolor,False,In Stock,False,Valid SKU
BL095-XXL,BL095,32,Blouse,XXL,Multicolor,False,In Stock,False,Valid SKU
BL096-L,BL096,2,Blouse,L,Beige,False,Low Stock,False,Valid SKU
BL096-M,BL096,2,Blouse,M,Beige,False,Low Stock,False,Valid SKU
BL096-S,BL096,8,Blouse,S,Beige,False,In Stock,False,Valid SKU
BL096-XL,BL096,2,Blouse,XL,Beige,False,Low Stock,False,Valid SKU
BL096-XS,BL096,8,Blouse,XS,Beige,False,In Stock,False,Valid SKU
BL096-XXL,BL096,2,Blouse,XXL,Beige,False,Low Stock,False,Valid SKU
BL097-L,BL097,42,Blouse,L,Maroon,False,In Stock,False,Valid SKU
BL097-M,BL097,25,Blouse,M,Maroon,False,In Stock,False,Valid SKU
BL097-S,BL097,39,Blouse,S,Maroon,False,In Stock,False,Valid SKU
BL097-XL,BL097,11,Blouse,XL,Maroon,False,In Stock,False,Valid SKU
BL097-XS,BL097,9,Blouse,XS,Maroon,False,In Stock,False,Valid SKU
BL097-XXL,BL097,35,Blouse,XXL,Maroon,False,In Stock,False,Valid SKU
,BL097,1,Blouse,XXXL,Maroon,True,Low Stock,False,Missing / Invalid SKU
,BL098,2,Blouse,Free,Brown,True,Low Stock,False,Missing / Invalid SKU
BL098-L,BL098,25,Blouse,L,Brown,False,In Stock,False,Valid SKU
BL098-M,BL098,31,Blouse,M,Brown,False,In Stock,False,Valid SKU
BL098-S,BL098,39,Blouse,S,Brown,False,In Stock,False,Valid SKU
BL098-XL,BL098,34,Blouse,XL,Brown,False,In Stock,False,Valid SKU
BL098-XS,BL098,31,Blouse,XS,Brown,False,In Stock,False,Valid SKU
BL098-XXL,BL098,27,Blouse,XXL,Brown,False,In Stock,False,Valid SKU
BL099-L,BL099,5,Blouse,L,Black,False,Low Stock,False,Valid SKU
BL099-M,BL099,6,Blouse,M,Black,False,In Stock,False,Valid SKU
BL099-S,BL099,9,Blouse,S,Black,False,In Stock,False,Valid SKU
BL099-XL,BL099,6,Blouse,XL,Black,False,In Stock,False,Valid SKU
BL099-XS,BL099,12,Blouse,XS,Black,False,In Stock,False,Valid SKU
BL099-XXL,BL099,4,Blouse,XXL,Black,False,Low Stock,False,Valid SKU
BL100-L,BL100,4,Blouse,L,Green,False,Low Stock,False,Valid SKU
BL100-M,BL100,5,Blouse,M,Green,False,Low Stock,False,Valid SKU
BL100-S,BL100,6,Blouse,S,Green,False,In Stock,False,Valid SKU
BL100-XL,BL100,8,Blouse,XL,Green,False,In Stock,False,Valid SKU
BL100-XS,BL100,9,Blouse,XS,Green,False,In Stock,False,Valid SKU
BL100-XXL,BL100,5,Blouse,XXL,Green,False,Low Stock,False,Valid SKU
BL101-L,BL101,2,Blouse,L,Grey,False,Low Stock,False,Valid SKU
BL101-M,BL101,3,Blouse,M,Grey,False,Low Stock,False,Valid SKU
BL101-S,BL101,8,Blouse,S,Grey,False,In Stock,False,Valid SKU
BL101-XL,BL101,4,Blouse,XL,Grey,False,Low Stock,False,Valid SKU
BL101-XS,BL101,6,Blouse,XS,Grey,False,In Stock,False,Valid SKU
BL101-XXL,BL101,2,Blouse,XXL,Grey,False,Low Stock,False,Valid SKU
,BL102,1,Blouse,Free,Navy Blue,True,Low Stock,False,Missing / Invalid SKU
BL102-L,BL102,7,Blouse,L,Navy Blue,False,In Stock,False,Valid SKU
BL102-M,BL102,5,Blouse,M,Navy Blue,False,Low Stock,False,Valid SKU
BL102-S,BL102,16,Blouse,S,Navy Blue,False,In Stock,False,Valid SKU
BL102-XL,BL102,19,Blouse,XL,Navy Blue,False,In Stock,False,Valid SKU
BL102-XS,BL102,16,Blouse,XS,Navy Blue,False,In Stock,False,Valid SKU
BL102-XXL,BL102,6,Blouse,XXL,Navy Blue,False,In Stock,False,Valid SKU
BL103-L,BL103,7,Blouse,L,Maroon,False,In Stock,False,Valid SKU
BL103-M,BL103,3,Blouse,M,Maroon,False,Low Stock,False,Valid SKU
BL103-S,BL103,29,Blouse,S,Maroon,False,In Stock,False,Valid SKU
BL103-XL,BL103,8,Blouse,XL,Maroon,False,In Stock,False,Valid SKU
BL103-XS,BL103,27,Blouse,XS,Maroon,False,In Stock,False,Valid SKU
BL103-XXL,BL103,4,Blouse,XXL,Maroon,False,Low Stock,False,Valid SKU
BL104-L,BL104,32,Blouse,L,Black,False,In Stock,False,Valid SKU
BL104-M,BL104,49,Blouse,M,Black,False,In Stock,False,Valid SKU
BL104-S,BL104,14,Blouse,S,Black,False,In Stock,False,Valid SKU
BL104-XL,BL104,20,Blouse,XL,Black,False,In Stock,False,Valid SKU
BL104-XS,BL104,29,Blouse,XS,Black,False,In Stock,False,Valid SKU
BL104-XXL,BL104,26,Blouse,XXL,Black,False,In Stock,False,Valid SKU
BL107-L,BL107,2,Blouse,L,White,False,Low Stock,False,Valid SKU
BL107-M,BL107,2,Blouse,M,White,False,Low Stock,False,Valid SKU
BL107-S,BL107,15,Blouse,S,White,False,In Stock,False,Valid SKU
BL107-XL,BL107,3,Blouse,XL,White,False,Low Stock,False,Valid SKU
BL107-XS,BL107,6,Blouse,XS,White,False,In Stock,False,Valid SKU
BL107-XXL,BL107,4,Blouse,XXL,White,False,Low Stock,False,Valid SKU
,BL109,2,Blouse,Free,Gold,True,Low Stock,False,Missing / Invalid SKU
BL109-L,BL109,23,Blouse,L,Gold,False,In Stock,False,Valid SKU
BL109-M,BL109,37,Blouse,M,Gold,False,In Stock,False,Valid SKU
BL109-S,BL109,34,Blouse,S,Gold,False,In Stock,False,Valid SKU
BL109-XL,BL109,17,Blouse,XL,Gold,False,In Stock,False,Valid SKU
BL109-XS,BL109,15,Blouse,XS,Gold,False,In Stock,False,Valid SKU
BL109-XXL,BL109,9,Blouse,XXL,Gold,False,In Stock,False,Valid SKU
BL110-L,BL110,8,Blouse,L,Red,False,In Stock,False,Valid SKU
BL110-M,BL110,7,Blouse,M,Red,False,In Stock,False,Valid SKU
BL110-S,BL110,18,Blouse,S,Red,False,In Stock,False,Valid SKU
BL110-XL,BL110,8,Blouse,XL,Red,False,In Stock,False,Valid SKU
BL110-XS,BL110,16,Blouse,XS,Red,False,In Stock,False,Valid SKU
BL110-XXL,BL110,5,Blouse,XXL,Red,False,Low Stock,False,Valid SKU
BL111-L,BL111,9,Blouse,L,Black,False,In Stock,False,Valid SKU
BL111-M,BL111,6,Blouse,M,Black,False,In Stock,False,Valid SKU
BL111-S,BL111,11,Blouse,S,Black,False,In Stock,False,Valid SKU
BL111-XL,BL111,4,Blouse,XL,Black,False,Low Stock,False,Valid SKU
BL111-XS,BL111,13,Blouse,XS,Black,False,In Stock,False,Valid SKU
BL111-XXL,BL111,2,Blouse,XXL,Black,False,Low Stock,False,Valid SKU
BL113-L,BL113,4,Blouse,L,Maroon,False,Low Stock,False,Valid SKU
BL113-M,BL113,3,Blouse,M,Maroon,False,Low Stock,False,Valid SKU
BL113-S,BL113,11,Blouse,S,Maroon,False,In Stock,False,Valid SKU
BL113-XL,BL113,8,Blouse,XL,Maroon,False,In Stock,False,Valid SKU
BL113-XS,BL113,27,Blouse,XS,Maroon,False,In Stock,False,Valid SKU
BL113-XXL,BL113,7,Blouse,XXL,Maroon,False,In Stock,False,Valid SKU
,BL113,0,Blouse,XXXL,Maroon,True,Out of Stock,False,Missing / Invalid SKU
BL0115-S,BL115,2,Blouse,S,Olive,False,Low Stock,False,Valid SKU
BTM002-L,BTM002,61,Pant,L,White,False,In Stock,False,Valid SKU
BTM002-M,BTM002,40,Pant,M,White,False,In Stock,False,Valid SKU
BTM002-S,BTM002,85,Pant,S,White,False,In Stock,False,Valid SKU
BTM002-XL,BTM002,22,Pant,XL,White,False,In Stock,False,Valid SKU
BTM002-XS,BTM002,158,Pant,XS,White,False,In Stock,False,Valid SKU
BTM002-XXL,BTM002,158,Pant,XXL,White,False,In Stock,False,Valid SKU
BTM002-XXXL,BTM002,194,Pant,XXXL,White,False,In Stock,False,Valid SKU
BTM003-L,BTM003,32,Pant,L,Maroon,False,In Stock,False,Valid SKU
BTM003-M,BTM003,25,Pant,M,Maroon,False,In Stock,False,Valid SKU
BTM003-S,BTM003,35,Pant,S,Maroon,False,In Stock,False,Valid SKU
BTM003-XL,BTM003,24,Pant,XL,Maroon,False,In Stock,False,Valid SKU
BTM003-XS,BTM003,40,Pant,XS,Maroon,False,In Stock,False,Valid SKU
BTM003-XXL,BTM003,4,Pant,XXL,Maroon,False,Low Stock,False,Valid SKU
BTM003-XXXL,BTM003,4,Pant,XXXL,Maroon,False,Low Stock,False,Valid SKU
BTM004-L,BTM004,1,Bottom,L,White,False,Low Stock,False,Valid SKU
BTM004-S,BTM004,2,Bottom,S,White,False,Low Stock,False,Valid SKU
BTM004-XL,BTM004,3,Bottom,XL,White,False,Low Stock,False,Valid SKU
BTM004-XS,BTM004,0,Bottom,XS,White,False,Out of Stock,False,Valid SKU
BTM004-XXL,BTM004,2,Bottom,XXL,White,False,Low Stock,False,Valid SKU
BTM004-XXXL,BTM004,3,Bottom,XXXL,White,False,Low Stock,False,Valid SKU
BTM005-L,BTM005,398,Pant,L,Black,False,In Stock,False,Valid SKU
BTM005-M,BTM005,250,Pant,M,Black,False,In Stock,False,Valid SKU
BTM005-S,BTM005,347,Pant,S,Black,False,In Stock,False,Valid SKU
BTM005-XL,BTM005,75,Pant,XL,Black,False,In Stock,False,Valid SKU
BTM005-XS,BTM005,88,Pant,XS,Black,False,In Stock,False,Valid SKU
BTM005-XXL,BTM005,21,Pant,XXL,Black,False,In Stock,False,Valid SKU
BTM005-XXXL,BTM005,59,Pant,XXXL,Black,False,In Stock,False,Valid SKU
BTM006-L,BTM006,2,Bottom,L,Green,False,Low Stock,False,Valid SKU
BTM006-M,BTM006,2,Bottom,M,Green,False,Low Stock,False,Valid SKU
BTM006-S,BTM006,1,Bottom,S,Green,False,Low Stock,False,Valid SKU
BTM006-XL,BTM006,3,Bottom,XL,Green,False,Low Stock,False,Valid SKU
BTM006-XS,BTM006,3,Bottom,XS,Green,False,Low Stock,False,Valid SKU
BTM006-XXL,BTM006,3,Bottom,XXL,Green,False,Low Stock,False,Valid SKU
BTM006-XXXL,BTM006,4,Bottom,XXXL,Green,False,Low Stock,False,Valid SKU
BTM007-L,BTM007,2,Bottom,L,Beige,False,Low Stock,False,Valid SKU
BTM007-M,BTM007,1,Bottom,M,Beige,False,Low Stock,False,Valid SKU
BTM007-S,BTM007,2,Bottom,S,Beige,False,Low Stock,False,Valid SKU
BTM007-XL,BTM007,3,Bottom,XL,Beige,False,Low Stock,False,Valid SKU
BTM007-XS,BTM007,2,Bottom,XS,Beige,False,Low Stock,False,Valid SKU
BTM007-XXL,BTM007,2,Bottom,XXL,Beige,False,Low Stock,False,Valid SKU
BTM008-L,BTM008,6,Pant,L,Grey,False,In Stock,False,Valid SKU
BTM008-M,BTM008,1,Pant,M,Grey,False,Low Stock,False,Valid SKU
BTM008-S,BTM008,5,Pant,S,Grey,False,Low Stock,False,Valid SKU
BTM008-XL,BTM008,10,Pant,XL,Grey,False,In Stock,False,Valid SKU
BTM008-XS,BTM008,21,Pant,XS,Grey,False,In Stock,False,Valid SKU
BTM008-XXL,BTM008,6,Pant,XXL,Grey,False,In Stock,False,Valid SKU
BTM008-XXXL,BTM008,15,Pant,XXXL,Grey,False,In Stock,False,Valid SKU
BTM021-L,BTM021,136,Pant,L,Navy Blue,False,In Stock,False,Valid SKU
BTM021-M,BTM021,63,Pant,M,Navy Blue,False,In Stock,False,Valid SKU
BTM021-S,BTM021,134,Pant,S,Navy Blue,False,In Stock,False,Valid SKU
BTM021-XL,BTM021,176,Pant,XL,Navy Blue,False,In Stock,False,Valid SKU
BTM021-XS,BTM021,41,Pant,XS,Navy Blue,False,In Stock,False,Valid SKU
BTM021-XXL,BTM021,92,Pant,XXL,Navy Blue,False,In Stock,False,Valid SKU
BTM021-XXXL,BTM021,102,Pant,XXXL,Navy Blue,False,In Stock,False,Valid SKU
BTM026-NP-L,BTM026,1,Pant,L,Red,False,Low Stock,False,Valid SKU
