order_line_id,order_id,date,status,fulfilment,sales_channel,ship_service_level,style,sku,category,size,asin,courier_status,qty,currency,amount,ship_city,ship_state,ship_postal_code,ship_country,promotion_ids,b2b,fulfilled_by,amount_missing,promotion_recorded,zero_qty,zero_amount,repeated_order_sku,status_group,customer_type,year,month_number,month_name,year_month,day_name,is_weekend
71028,406-1217347-8009118,2022-05-14,Cancelled,Merchant,Amazon.in,Standard,SET269,SET269-KR-NP-XL,Set,XL,B0983CBSJ3,Unknown,0,INR,784.76,NEW DELHI,DELHI,110009,IN,No Promotion Recorded,False,Easy Ship,False,False,True,False,False,Cancelled,B2C,2022,5,May,2022-05,Saturday,True
71845,405-3170634-8893168,2022-05-13,Shipped,Amazon,Amazon.in,Expedited,SET266,SET266-KR-NP-XXXL,Set,3XL,B09BQLFL7M,Shipped,1,INR,852.0,MUMBAI,MAHARASHTRA,400028,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,Amazon,False,True,False,False,False,Shipped / In Process,B2C,2022,5,May,2022-05,Friday,False
103489,402-6985555-3875525,2022-06-19,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3797,JNE3797-KR-L,Western Dress,L,B09SDXFFQ1,Shipped,1,INR,735.0,NAVI MUMBAI,MAHARASHTRA,400703,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-EWAPBB6BDRGM6,Amazon PLCC Free-Financing Universal Merchant AAT-WSJLDN3X7KEMO,Amazon PLCC Free-Financing Universal Merchant AAT-VL6FGQVGQVXUS,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-BOWEMQBNNNHBK,Amazon PLCC Free-Financing Universal Merchant AAT-SKYXW7T3UZBGO,Amazon PLCC Free-Financing Universal Merchant AAT-ONHQI6RQUNGB6,Amazon PLCC Free-Financing Universal Merchant AAT-7L53RVBBSPI3S,Amazon PLCC Free-Financing Universal Merchant AAT-FXGH5APHPAWRQ,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship,False,True,False,False,False,Delivered,B2C,2022,6,June,2022-06,Sunday,True
84092,402-1480742-1400339,2022-05-04,Shipped,Amazon,Amazon.in,Expedited,J0338,J0338-DR-XXL,Western Dress,XXL,B09831KKVG,Shipped,1,INR,791.0,PATNA,BIHAR,800014,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,Amazon,False,True,False,False,False,Shipped / In Process,B2C,2022,5,May,2022-05,Wednesday,False
116907,405-2440498-1907538,2022-06-09,Shipped,Amazon,Amazon.in,Expedited,J0301,J0301-TP-XL,Top,XL,B099S87FTK,Shipped,1,INR,693.0,BENGALURU,KARNATAKA,560066,IN,No Promotion Recorded,False,Amazon,False,False,False,False,False,Shipped / In Process,B2C,2022,6,June,2022-06,Thursday,False
88204,171-7222731-4739505,2022-05-02,Shipped,Amazon,Amazon.in,Expedited,J0113,J0113-TP-M,Top,M,B08V19JZ2F,Shipped,1,INR,574.0,NEW DELHI,DELHI,110096,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,Amazon,False,True,False,False,False,Shipped / In Process,B2C,2022,5,May,2022-05,Monday,False
2814,402-2379252-5068345,2022-04-29,Shipped,Amazon,Amazon.in,Expedited,J0339,J0339-DR-L,Western Dress,L,B098315N2Z,Shipped,1,INR,744.0,NEW DELHI,DELHI,110059,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,Amazon,False,True,False,False,False,Shipped / In Process,B2C,2022,4,April,2022-04,Friday,False
52638,408-4018747-4459524,2022-05-29,Shipped,Amazon,Amazon.in,Expedited,J0117,J0117-TP-XS,Top,XS,B08N44NRDT,Shipped,1,INR,545.0,NEW DELHI,DELHI,110075,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,Amazon,False,True,False,False,False,Shipped / In Process,B2C,2022,5,May,2022-05,Sunday,True
109804,407-9038527-8333161,2022-06-14,Shipped,Amazon,Amazon.in,Expedited,NW013,NW013-ST-SR-XL,Set,XL,B0928XJ3BS,Shipped,1,INR,475.0,BENGALURU,KARNATAKA,560045,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,Amazon,False,True,False,False,False,Shipped / In Process,B2C,2022,6,June,2022-06,Tuesday,False
227,407-4936046-5852304,2022-04-30,Cancelled,Merchant,Amazon.in,Standard,SET355,SET355-KR-PP-XXL,Set,XXL,B09RKD8HQJ,Unknown,0,INR,1249.11,GURUGRAM,HARYANA,122001,IN,No Promotion Recorded,False,Easy Ship,False,False,True,False,False,Cancelled,B2C,2022,4,April,2022-04,Saturday,True
40120,404-3008038-8191521,2022-04-06,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3836,JNE3836-KR-XXL,Kurta,XXL,B09RKB4VDD,Shipped,1,INR,635.0,MUMBAI,MAHARASHTRA,400078,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62,Amazon PLCC Free-Financing Universal Merchant AAT-G5ZRX4BZOIODU,Amazon PLCC Free-Financing Universal Merchant AAT-YFJA6XMAMWZSK,Amazon PLCC Free-Financing Universal Merchant AAT-K66BSCE2J2V5E,Amazon PLCC Free-Financing Universal Merchant AAT-275LMAQ3T5REI,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship,False,True,False,False,False,Delivered,B2C,2022,4,April,2022-04,Wednesday,False
23622,402-7540172-2041939,2022-04-16,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET291,SET291-KR-PP-M,Set,M,B099NK55YG,Shipped,1,INR,563.0,SURAT,GUJARAT,394330,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62,Amazon PLCC Free-Financing Universal Merchant AAT-G5ZRX4BZOIODU,Amazon PLCC Free-Financing Universal Merchant AAT-PZHUW6DZX4BPS,Amazon PLCC Free-Financing Universal Merchant AAT-XX7G3ZRJJJ5LG,Amazon PLCC Free-Financing Universal Merchant AAT-LEHCKNDBJG64E,Amazon PLCC Free-Financing Universal Merchant AAT-DJVHCEV7D7RQY,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship,False,True,False,False,False,Delivered,B2C,2022,4,April,2022-04,Saturday,True
17948,171-0282434-6767537,2022-04-19,Shipped,Amazon,Amazon.in,Expedited,JNE3351,JNE3351-KR-XL,Kurta,XL,B07WS16X57,Shipped,1,INR,284.0,GHAZIABAD,UTTAR PRADESH,201017,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,Amazon,False,True,False,False,False,Shipped / In Process,B2C,2022,4,April,2022-04,Tuesday,False
83143,406-8258071-9573952,2022-05-04,Shipped,Amazon,Amazon.in,Expedited,SET331,SET331-KR-NP-XXXL,Set,3XL,B09NQ4C51C,Shipped,1,INR,597.0,SAKLESHPUR,KARNATAKA,573134,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,Amazon,False,True,False,False,False,Shipped / In Process,B2C,2022,5,May,2022-05,Wednesday,False
117460,406-5512438-5073915,2022-06-08,Shipped,Amazon,Amazon.in,Expedited,JNE3860,JNE3860-DR-XXXL,Western Dress,3XL,B09SDYFGMR,Shipped,1,INR,614.0,NEW DELHI,DELHI,110059,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,Amazon,False,True,False,False,False,Shipped / In Process,B2C,2022,6,June,2022-06,Wednesday,False
91836,407-6956275-3881912,2022-06-29,Cancelled,Merchant,Amazon.in,Standard,JNE3797,JNE3797-KR-L,Western Dress,L,B09SDXFFQ1,Unknown,0,INR,,KALADHUNGI,UTTARAKHAND,263139,IN,No Promotion Recorded,False,Easy Ship,True,False,True,False,False,Cancelled,B2C,2022,6,June,2022-06,Wednesday,False
78276,171-9634835-5183517,2022-05-08,Cancelled,Amazon,Amazon.in,Expedited,SET345,SET345-KR-NP-L,Set,L,B09KXT4VG7,Unshipped,1,INR,613.0,BENGALURU,KARNATAKA,560068,IN,No Promotion Recorded,False,Amazon,False,False,False,False,False,Cancelled,B2C,2022,5,May,2022-05,Sunday,True
43368,171-2353948-8112322,2022-04-04,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,PJNE2100,PJNE2100-KR-N-6XL,Kurta,6XL,B09LD3PMBT,Shipped,1,INR,452.0,BANGALORE,KARNATAKA,560029,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-SL3Y2YRMAUNFC,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62,Amazon PLCC Free-Financing Universal Merchant AAT-G5ZRX4BZOIODU,Amazon PLCC Free-Financing Universal Merchant AAT-YFJA6XMAMWZSK,Amazon PLCC Free-Financing Universal Merchant AAT-K66BSCE2J2V5E,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship,False,True,False,False,False,Delivered,B2C,2022,4,April,2022-04,Monday,False
58043,404-4246614-9175529,2022-05-25,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3753,JNE3753-KR-XXXL,Kurta,3XL,B09K3XM19N,Shipped,1,INR,475.0,NEW DELHI,DELHI,110067,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-SL3Y2YRMAUNFC,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-FYWJCQHU2XQ2U,Amazon PLCC Free-Financing Universal Merchant AAT-R7GXNZWISTRFA,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-URPEBMPS7TSPE,Amazon PLCC Free-Financing Universal Merchant AAT-L2DLP5YGE5766,Amazon PLCC Free-Financing Universal Merchant AAT-5ZEB2OGNZ32MC,Amazon PLCC Free-Financing Universal Merchant AAT-TNYBHEAO7HOHO,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4,Amazon PLCC Free-Financing Universal Merchant AAT-QMFZ3M7T5NPDS,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1601980554292",False,Easy Ship,False,True,False,False,False,Delivered,B2C,2022,5,May,2022-05,Wednesday,False
34067,402-0349789-5135535,2022-04-10,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,MEN5002,MEN5002-KR-XL,Kurta,XL,B08YYZCTJX,Shipped,1,INR,499.0,SOLAPUR,MAHARASHTRA,413004,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-TNYBHEAO7HOHO,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4,Amazon PLCC Free-Financing Universal Merchant AAT-QMFZ3M7T5NPDS,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1601980554292",False,Easy Ship,False,True,False,False,False,Delivered,B2C,2022,4,April,2022-04,Sunday,True
49255,407-2802372-0739549,2022-05-31,Shipped,Amazon,Amazon.in,Expedited,J0376,J0376-SKD-S,Set,S,B09QJ3BDVW,Shipped,1,INR,1063.0,BENGALURU,KARNATAKA,560068,IN,No Promotion Recorded,False,Amazon,False,False,False,False,False,Shipped / In Process,B2C,2022,5,May,2022-05,Tuesday,False
100977,408-0571613-8837920,2022-06-21,Shipped,Amazon,Amazon.in,Standard,SET351,SET351-KR-NP-M,Set,M,B09KXV7YB4,Shipped,1,INR,0.0,AHMEDABAD,GUJARAT,380052,IN,No Promotion Recorded,False,Amazon,False,False,False,True,False,Shipped / In Process,B2C,2022,6,June,2022-06,Tuesday,False
56282,408-7729555-8393131,2022-05-26,Shipped,Amazon,Amazon.in,Expedited,J0401,J0401-DR-S,Western Dress,S,B09SDYGHX3,Shipped,1,INR,885.0,BENGALURU,KARNATAKA,560067,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,Amazon,False,True,False,False,False,Shipped / In Process,B2C,2022,5,May,2022-05,Thursday,False
93184,406-8965857-5304342,2022-06-27,Shipped,Amazon,Amazon.in,Expedited,SET316,SET316-KR-DPT-XL,Set,XL,B09KXSW54F,Shipped,1,INR,1238.0,BENGALURU,KARNATAKA,560054,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,Amazon,False,True,False,False,False,Shipped / In Process,B2C,2022,6,June,2022-06,Monday,False
106589,171-7011790-0125903,2022-06-16,Cancelled,Amazon,Amazon.in,Expedited,JNE2171,JNE2171-KR-437-XS,Kurta,XS,B07FTL9GTF,Unshipped,1,INR,518.0,AJMER,RAJASTHAN,305003,IN,No Promotion Recorded,False,Amazon,False,False,False,False,False,Cancelled,B2C,2022,6,June,2022-06,Thursday,False
53019,403-4530145-6725966,2022-05-28,Shipped,Amazon,Amazon.in,Expedited,JNE3781,JNE3781-KR-S,Kurta,S,B09K3WHHR1,Shipped,1,INR,432.0,BENGALURU,KARNATAKA,560078,IN,No Promotion Recorded,False,Amazon,False,False,False,False,False,Shipped / In Process,B2C,2022,5,May,2022-05,Saturday,True
125686,404-1587303-1384301,2022-06-03,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,JNE3703,JNE3703-KR-XXL,Kurta,XXL,B099FDH3P2,Shipped,1,INR,292.0,HOWRAH,WEST BENGAL,711105,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-EWAPBB6BDRGM6,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-NT3ZJJGQ3JK3Q,Amazon PLCC Free-Financing Universal Merchant AAT-Z7SKZOEIDWRU4,Amazon PLCC Free-Financing Universal Merchant AAT-SYBM7O5OQIPGQ,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship,False,True,False,False,False,Return / Rejected,B2C,2022,6,June,2022-06,Friday,False
103130,402-0618317-8119542,2022-06-19,Shipped,Amazon,Amazon.in,Expedited,MEN5018,MEN5018-KR-XXXL,Kurta,3XL,B08YZ1YL7X,Shipped,1,INR,635.0,DURGAPUR,WEST BENGAL,713202,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,Amazon,False,True,False,False,False,Shipped / In Process,B2C,2022,6,June,2022-06,Sunday,True
88688,403-6449135-6665163,2022-05-02,Shipped,Amazon,Amazon.in,Expedited,J0170,J0170-TP-A-M,Top,M,B08N4H8GCZ,Shipped,1,INR,329.0,PUNE,MAHARASHTRA,411057,IN,No Promotion Recorded,False,Amazon,False,False,False,False,False,Shipped / In Process,B2C,2022,5,May,2022-05,Monday,False
